Agent,Cond,AgentID,Mean_CR
Human,2C,1,0.7
Human,2C,2,0.95
Human,2C,3,0.75
Human,2C,4,0.95
Human,2C,5,0.75
Human,2C,6,0.8
Human,2C,7,0.75
Human,2C,8,0.5
Human,2C,9,0.8
Human,2C,10,0.75
Human,2C,11,0.8
Human,2C,12,0.7
Human,2C,13,0.85
Human,2C,14,0.85
Human,2C,15,0.6
Human,2C,16,0.8
Human,2C,17,0.8
Human,2C,18,0.55
Human,2C,19,0.65
Human,2C,20,0.6
Human,2C,21,0.9
Human,2C,22,0.6
Human,2C,23,0.6
Human,2C,24,1
Human,2C,25,0.95
Human,2C,26,0.7
Human,2C,27,0.75
Human,2C,28,0.8
Human,2C,29,0.85
Human,2C,30,0.85
Human,2C,31,0.8
Human,2C,32,0.85
Human,2C,33,0.75
Human,2C,34,0.75
Human,2C,35,1
Human,2C,36,0.75
Human,2C,37,0.8
Human,2C,38,0.7
Human,2C,39,0.6
Human,2C,40,0.6
Human,2C,41,0.65
Human,2C,42,0.7
Human,2C,43,0.8
Human,2C,44,0.65
Human,2C,45,0.7
Human,2C,46,0.75
Human,2C,47,0.6
Human,2C,48,0.75
Human,2C,49,0.8
Human,2C,50,0.6
Human,2C,51,0.75
Human,2C,52,0.8
Human,2C,53,0.8
Human,2C,54,0.75
Human,2C,55,0.75
Human,2C,56,0.65
Human,2C,57,0.65
Human,2C,58,0.55
Human,2C,59,0.7
Human,2C,60,0.75
Human,2C,61,0.75
Human,2C,62,0.6
Human,2C,63,0.5
Human,2C,64,0.7
Human,2C,65,0.7
Human,2C,66,0.8
Human,2C,67,0.85
Human,2C,68,0.75
Human,2C,69,0.7
Human,2C,70,0.75
Human,2C,71,0.8
Human,2C,72,0.6
Human,2C,73,0.65
Human,2C,74,0.7
Human,2C,75,0.85
Human,2C,76,0.8
Human,2C,77,0.9
Human,2C,78,0.5
Human,2C,79,0.8
Human,2C,80,0.5
Human,2C,81,0.6
Human,2C,82,0.7
Human,2C,83,0.6
Human,2C,84,0.6
Human,2C,85,0.85
Human,2C,86,0.55
Human,2C,87,0.8
Human,4C,1,0.65
Human,4C,2,0.95
Human,4C,3,0.75
Human,4C,4,0.85
Human,4C,5,0.6
Human,4C,6,0.75
Human,4C,7,0.6
Human,4C,8,0.6
Human,4C,9,0.8
Human,4C,10,0.7
Human,4C,11,0.7
Human,4C,12,0.45
Human,4C,13,0.75
Human,4C,14,0.75
Human,4C,15,0.55
Human,4C,16,0.7
Human,4C,17,0.85
Human,4C,18,0.6
Human,4C,19,0.6
Human,4C,20,0.7
Human,4C,21,0.7
Human,4C,22,0.6
Human,4C,23,0.6
Human,4C,24,1
Human,4C,25,0.95
Human,4C,26,0.7
Human,4C,27,0.6
Human,4C,28,0.4
Human,4C,29,0.8
Human,4C,30,0.9
Human,4C,31,0.8
Human,4C,32,0.7
Human,4C,33,0.75
Human,4C,34,0.85
Human,4C,35,1
Human,4C,36,0.85
Human,4C,37,0.8
Human,4C,38,0.7
Human,4C,39,0.6
Human,4C,40,0.75
Human,4C,41,0.65
Human,4C,42,0.8
Human,4C,43,0.75
Human,4C,44,0.7
Human,4C,45,0.8
Human,4C,46,0.7
Human,4C,47,0.55
Human,4C,48,0.75
Human,4C,49,0.85
Human,4C,50,0.7
Human,4C,51,0.7
Human,4C,52,0.85
Human,4C,53,0.7
Human,4C,54,0.8
Human,4C,55,0.85
Human,4C,56,0.7
Human,4C,57,0.75
Human,4C,58,0.6
Human,4C,59,0.8
Human,4C,60,0.7
Human,4C,61,0.8
Human,4C,62,0.7
Human,4C,63,0.7
Human,4C,64,0.8
Human,4C,65,0.6
Human,4C,66,0.9
Human,4C,67,0.9
Human,4C,68,0.8
Human,4C,69,0.8
Human,4C,70,0.8
Human,4C,71,0.75
Human,4C,72,0.6
Human,4C,73,0.7
Human,4C,74,0.65
Human,4C,75,0.7
Human,4C,76,0.7
Human,4C,77,1
Human,4C,78,0.65
Human,4C,79,0.8
Human,4C,80,0.65
Human,4C,81,0.7
Human,4C,82,0.75
Human,4C,83,0.7
Human,4C,84,0.7
Human,4C,85,0.85
Human,4C,86,0.45
Human,4C,87,0.85
Human,OP,1,0.4
Human,OP,2,0.85
Human,OP,3,0.65
Human,OP,4,0.7
Human,OP,5,0.5
Human,OP,6,0.6
Human,OP,7,0.4
Human,OP,8,0.35
Human,OP,9,0.55
Human,OP,10,0.4
Human,OP,11,0.7
Human,OP,12,0.25
Human,OP,13,0.55
Human,OP,14,0.6
Human,OP,15,0.4
Human,OP,16,0.4
Human,OP,17,0.45
Human,OP,18,0.35
Human,OP,19,0.7
Human,OP,20,0.55
Human,OP,21,0.6
Human,OP,22,0.35
Human,OP,23,0.45
Human,OP,24,1
Human,OP,25,0.85
Human,OP,26,0.5
Human,OP,27,0.3
Human,OP,28,0.45
Human,OP,29,0.6
Human,OP,30,0.5
Human,OP,31,0.65
Human,OP,32,0.55
Human,OP,33,0.55
Human,OP,34,0.6
Human,OP,35,0.55
Human,OP,36,0.35
Human,OP,37,0.65
Human,OP,38,0.45
Human,OP,39,0.35
Human,OP,40,0.55
Human,OP,41,0.35
Human,OP,42,0.4
Human,OP,43,0.75
Human,OP,44,0.55
Human,OP,45,0.45
Human,OP,46,0.6
Human,OP,47,0.4
Human,OP,48,0.55
Human,OP,49,0.6
Human,OP,50,0.45
Human,OP,51,0.6
Human,OP,52,0.6
Human,OP,53,0.6
Human,OP,54,0.5
Human,OP,55,0.6
Human,OP,56,0.35
Human,OP,57,0.4
Human,OP,58,0.3
Human,OP,59,0.5
Human,OP,60,0.35
Human,OP,61,0.4
Human,OP,62,0.5
Human,OP,63,0.3
Human,OP,64,0.45
Human,OP,65,0.4
Human,OP,66,0.65
Human,OP,67,0.7
Human,OP,68,0.35
Human,OP,69,0.4
Human,OP,70,0.35
Human,OP,71,0.7
Human,OP,72,0.4
Human,OP,73,0.35
Human,OP,74,0.5
Human,OP,75,0.65
Human,OP,76,0.55
Human,OP,77,0.75
Human,OP,78,0.5
Human,OP,79,0.65
Human,OP,80,0.35
Human,OP,81,0.55
Human,OP,82,0.55
Human,OP,83,0.6
Human,OP,84,0.5
Human,OP,85,0.65
Human,OP,86,0.35
Human,OP,87,0.8
GPT,2C,1,0.9
GPT,2C,2,0.85
GPT,2C,3,0.85
GPT,2C,4,0.85
GPT,2C,5,0.85
GPT,2C,6,0.9
GPT,2C,7,0.85
GPT,2C,8,0.95
GPT,2C,9,0.9
GPT,2C,10,0.9
GPT,2C,11,0.85
GPT,2C,12,0.9
GPT,2C,13,0.9
GPT,2C,14,0.85
GPT,2C,15,0.95
GPT,2C,16,0.85
GPT,2C,17,0.85
GPT,2C,18,0.85
GPT,2C,19,0.85
GPT,2C,20,0.85
GPT,2C,21,0.95
GPT,2C,22,0.9
GPT,2C,23,0.9
GPT,2C,24,0.8
GPT,2C,25,0.75
GPT,2C,26,0.9
GPT,2C,27,0.85
GPT,2C,28,0.85
GPT,2C,29,0.9
GPT,2C,30,0.85
GPT,2C,31,0.85
GPT,2C,32,0.85
GPT,2C,33,0.85
GPT,2C,34,0.9
GPT,2C,35,0.9
GPT,2C,36,0.9
GPT,2C,37,0.95
GPT,2C,38,0.85
GPT,2C,39,0.85
GPT,2C,40,0.85
GPT,2C,41,0.85
GPT,2C,42,0.9
GPT,2C,43,0.85
GPT,2C,44,0.85
GPT,2C,45,0.85
GPT,2C,46,0.85
GPT,2C,47,0.8
GPT,2C,48,0.9
GPT,2C,49,0.9
GPT,2C,50,0.85
GPT,2C,51,0.85
GPT,2C,52,0.85
GPT,2C,53,0.9
GPT,2C,54,0.85
GPT,2C,55,0.9
GPT,2C,56,0.9
GPT,2C,57,0.9
GPT,2C,58,0.85
GPT,2C,59,0.95
GPT,2C,60,0.95
GPT,2C,61,0.9
GPT,2C,62,0.9
GPT,2C,63,0.85
GPT,2C,64,0.85
GPT,2C,65,0.85
GPT,2C,66,0.85
GPT,2C,67,0.85
GPT,2C,68,0.9
GPT,2C,69,0.9
GPT,2C,70,0.9
GPT,2C,71,0.85
GPT,2C,72,0.9
GPT,2C,73,0.9
GPT,2C,74,0.85
GPT,2C,75,0.9
GPT,2C,76,0.85
GPT,2C,77,0.85
GPT,2C,78,0.85
GPT,2C,79,0.9
GPT,2C,80,0.9
GPT,2C,81,0.85
GPT,2C,82,0.9
GPT,2C,83,0.85
GPT,2C,84,0.85
GPT,2C,85,0.9
GPT,2C,86,0.9
GPT,2C,87,0.9
GPT,4C,1,0.85
GPT,4C,2,0.9
GPT,4C,3,0.85
GPT,4C,4,0.9
GPT,4C,5,0.9
GPT,4C,6,0.85
GPT,4C,7,0.9
GPT,4C,8,0.85
GPT,4C,9,0.9
GPT,4C,10,0.85
GPT,4C,11,0.85
GPT,4C,12,0.9
GPT,4C,13,0.9
GPT,4C,14,0.85
GPT,4C,15,0.9
GPT,4C,16,0.9
GPT,4C,17,0.9
GPT,4C,18,0.85
GPT,4C,19,0.85
GPT,4C,20,0.9
GPT,4C,21,0.9
GPT,4C,22,0.9
GPT,4C,23,0.9
GPT,4C,24,0.9
GPT,4C,25,0.9
GPT,4C,26,0.85
GPT,4C,27,0.9
GPT,4C,28,0.85
GPT,4C,29,0.85
GPT,4C,30,0.85
GPT,4C,31,0.85
GPT,4C,32,0.85
GPT,4C,33,0.85
GPT,4C,34,0.85
GPT,4C,35,0.85
GPT,4C,36,0.9
GPT,4C,37,0.85
GPT,4C,38,0.85
GPT,4C,39,0.85
GPT,4C,40,0.9
GPT,4C,41,0.85
GPT,4C,42,0.85
GPT,4C,43,0.85
GPT,4C,44,0.85
GPT,4C,45,0.9
GPT,4C,46,0.95
GPT,4C,47,0.85
GPT,4C,48,0.9
GPT,4C,49,0.85
GPT,4C,50,0.9
GPT,4C,51,0.9
GPT,4C,52,0.85
GPT,4C,53,0.9
GPT,4C,54,0.85
GPT,4C,55,0.9
GPT,4C,56,0.9
GPT,4C,57,0.9
GPT,4C,58,0.85
GPT,4C,59,0.9
GPT,4C,60,0.9
GPT,4C,61,0.85
GPT,4C,62,0.85
GPT,4C,63,0.9
GPT,4C,64,0.85
GPT,4C,65,0.85
GPT,4C,66,0.9
GPT,4C,67,0.9
GPT,4C,68,0.85
GPT,4C,69,0.9
GPT,4C,70,0.85
GPT,4C,71,0.9
GPT,4C,72,0.9
GPT,4C,73,0.9
GPT,4C,74,0.9
GPT,4C,75,0.85
GPT,4C,76,0.85
GPT,4C,77,0.9
GPT,4C,78,0.9
GPT,4C,79,0.85
GPT,4C,80,0.9
GPT,4C,81,0.85
GPT,4C,82,0.9
GPT,4C,83,0.85
GPT,4C,84,0.9
GPT,4C,85,0.9
GPT,4C,86,0.85
GPT,4C,87,0.85
GPT,OP,1,0.85
GPT,OP,2,0.8
GPT,OP,3,0.8
GPT,OP,4,0.75
GPT,OP,5,0.8
GPT,OP,6,0.75
GPT,OP,7,0.7
GPT,OP,8,0.85
GPT,OP,9,0.7
GPT,OP,10,0.8
GPT,OP,11,0.75
GPT,OP,12,0.85
GPT,OP,13,0.8
GPT,OP,14,0.8
GPT,OP,15,0.8
GPT,OP,16,0.8
GPT,OP,17,0.75
GPT,OP,18,0.8
GPT,OP,19,0.8
GPT,OP,20,0.8
GPT,OP,21,0.75
GPT,OP,22,0.8
GPT,OP,23,0.8
GPT,OP,24,0.75
GPT,OP,25,0.8
GPT,OP,26,0.75
GPT,OP,27,0.85
GPT,OP,28,0.8
GPT,OP,29,0.75
GPT,OP,30,0.7
GPT,OP,31,0.8
GPT,OP,32,0.9
GPT,OP,33,0.7
GPT,OP,34,0.75
GPT,OP,35,0.75
GPT,OP,36,0.8
GPT,OP,37,0.8
GPT,OP,38,0.75
GPT,OP,39,0.75
GPT,OP,40,0.7
GPT,OP,41,0.75
GPT,OP,42,0.7
GPT,OP,43,0.75
GPT,OP,44,0.8
GPT,OP,45,0.8
GPT,OP,46,0.8
GPT,OP,47,0.8
GPT,OP,48,0.8
GPT,OP,49,0.8
GPT,OP,50,0.7
GPT,OP,51,0.8
GPT,OP,52,0.9
GPT,OP,53,0.75
GPT,OP,54,0.8
GPT,OP,55,0.75
GPT,OP,56,0.7
GPT,OP,57,0.8
GPT,OP,58,0.8
GPT,OP,59,0.8
GPT,OP,60,0.8
GPT,OP,61,0.8
GPT,OP,62,0.75
GPT,OP,63,0.8
GPT,OP,64,0.75
GPT,OP,65,0.85
GPT,OP,66,0.75
GPT,OP,67,0.75
GPT,OP,68,0.8
GPT,OP,69,0.8
GPT,OP,70,0.85
GPT,OP,71,0.7
GPT,OP,72,0.85
GPT,OP,73,0.85
GPT,OP,74,0.85
GPT,OP,75,0.85
GPT,OP,76,0.8
GPT,OP,77,0.75
GPT,OP,78,0.7
GPT,OP,79,0.85
GPT,OP,80,0.8
GPT,OP,81,0.75
GPT,OP,82,0.75
GPT,OP,83,0.7
GPT,OP,84,0.75
GPT,OP,85,0.8
GPT,OP,86,0.75
GPT,OP,87,0.8
